3 4	1.08589		1.30533	1.20208
4 8	1.70042		1.11874	0.65792
5 12	2.06127		0.90535	0.43922
6 16	1.85057		0.83855	0.45313
7 28	4.04690		1.30221	0.32178
8 44	4.82821		1.44349	0.29897
9 68	5.55671		1.64273	0.29563
10 112	6.45100		2.10051	0.32561
11 176	5.68127		2.28745	0.40263
12 284	5.08226		2.43186	0.47850
13 452	4.55575		2.52530	0.55431
14 720	4.31873		2.59452	0.60076
15 1152	4.18530		2.62619	0.62748
16 1844	4.10678		2.64526	0.64412
17 2952	4.06538		2.65880	0.65401
18 4724	4.03995		2.66798	0.66040
19 7556	4.02103		2.66759	0.66341
20 12092	4.01374		2.67018	0.66526
21 19344	3.99795		2.67347	0.66871
22 30948	3.97414		2.67213	0.67238
23 49520	3.94271		2.67525	0.67853
